Loading py-torch/2.8.0-gcc-11.4.0-cuda-12.6.3
  Loading requirement: glibc/2.35-none-none gcc-runtime/11.4.0-none-none
    boost/1.88.0-gcc-11.4.0 libpciaccess/0.17-gcc-11.4.0
    libiconv/1.18-gcc-11.4.0 xz/5.6.3-gcc-11.4.0 zlib-ng/2.2.4-gcc-11.4.0
    libxml2/2.13.5-gcc-11.4.0 ncurses/6.5-gcc-11.4.0 hwloc/2.11.1-gcc-11.4.0
    openssl/3.4.1-gcc-11.4.0 libevent/2.1.12-gcc-11.4.0
    numactl/2.0.18-gcc-11.4.0 bzip2/1.0.8-gcc-11.4.0 pigz/2.8-gcc-11.4.0
    zstd/1.5.7-gcc-11.4.0 tar/1.35-gcc-11.4.0 gettext/0.23.1-gcc-11.4.0
    libedit/3.1-20240808-gcc-11.4.0 krb5/1.21.3-gcc-11.4.0
    libxcrypt/4.4.38-gcc-11.4.0 openssh/9.9p1-gcc-11.4.0 pmix/5.0.5-gcc-11.4.0
    openmpi/5.0.7-gcc-11.4.0 valgrind/3.24.0-gcc-11.4.0 sleef/3.8-gcc-11.4.0
    libmd/1.1.0-gcc-11.4.0 libbsd/0.12.2-gcc-11.4.0 expat/2.7.1-gcc-11.4.0
    readline/8.2-gcc-11.4.0 gdbm/1.23-gcc-11.4.0 libffi/3.4.8-gcc-11.4.0
    sqlite/3.46.0-gcc-11.4.0 util-linux-uuid/2.41-gcc-11.4.0
    python/3.10.16-gcc-11.4.0 python-venv/1.0-none-none
    py-typing-extensions/4.13.2-none-none py-setuptools/79.0.1-none-none
    py-tqdm/4.67.1-none-none py-mpmath/1.3.0-none-none py-sympy/1.13.3-none-none
    py-certifi/2025.4.26-none-none py-charset-normalizer/3.3.0-none-none
    py-idna/3.4-none-none py-urllib3/2.1.0-none-none
    py-requests/2.32.3-none-none libyaml/0.2.5-gcc-11.4.0
    py-pyyaml/6.0.2-none-none py-pybind11/2.13.6-gcc-11.4.0
    protobuf/3.13.0-gcc-11.4.0 py-six/1.17.0-none-none
    py-protobuf/3.13.0-gcc-11.4.0 openblas/0.3.29-gcc-11.4.0
    py-numpy/1.26.4-gcc-11.4.0 py-networkx/2.7.1-none-none
    py-markupsafe/2.1.3-gcc-11.4.0 py-jinja2/3.1.4-none-none
    py-fsspec/2024.10.0-none-none py-filelock/3.12.4-none-none
    py-wheel/0.45.1-none-none py-astunparse/1.6.3-none-none
    pthreadpool/2023-08-29-gcc-11.4.0 psimd/2020-05-17-none-none
    nvtx/3.2.1-gcc-11.4.0 intel-tbb/2022.0.0-gcc-11.4.0
    intel-oneapi-mkl/2024.2.2-none-none fxdiv/2020-04-17-gcc-11.4.0
    fp16/2020-05-14-gcc-11.4.0 eigen/3.4.0-gcc-11.4.0 cuda/12.6.3-none-none
    cudnn/8.9.7.29-12-none-none-cuda-12.6.3 cpuinfo/2025-03-21-gcc-11.4.0
Using device: cuda
Training samples: 117339
[Epoch 1 | Batch 0] Avg steer weight: 1.28 | Max steer weight: 1.64
[Epoch 1 | Batch 7400] Avg steer weight: 1.38 | Max steer weight: 2.22
[Epoch 1 | Batch 7600] Avg steer weight: 1.06 | Max steer weight: 1.20
[Epoch 1 | Batch 7800] Avg steer weight: 1.13 | Max steer weight: 1.50
[Epoch 1 | Batch 8000] Avg steer weight: 1.12 | Max steer weight: 1.36
[Epoch 1 | Batch 8200] Avg steer weight: 1.12 | Max steer weight: 1.35
[Epoch 1 | Batch 8400] Avg steer weight: 1.22 | Max steer weight: 1.57
[Epoch 1 | Batch 8600] Avg steer weight: 1.15 | Max steer weight: 1.19
[Epoch 1 | Batch 8800] Avg steer weight: 1.50 | Max steer weight: 2.05
[Epoch 1 | Batch 9000] Avg steer weight: 1.56 | Max steer weight: 2.83
[Epoch 1 | Batch 9200] Avg steer weight: 1.18 | Max steer weight: 1.30
[Epoch 1 | Batch 9400] Avg steer weight: 1.71 | Max steer weight: 3.37
[Epoch 1 | Batch 9600] Avg steer weight: 1.10 | Max steer weight: 1.20
[Epoch 1 | Batch 9800] Avg steer weight: 1.12 | Max steer weight: 1.27
[Epoch 1 | Batch 10000] Avg steer weight: 1.43 | Max steer weight: 2.40
[Epoch 1 | Batch 10200] Avg steer weight: 1.54 | Max steer weight: 2.97
[Epoch 1 | Batch 10400] Avg steer weight: 1.04 | Max steer weight: 1.06
[Epoch 1 | Batch 10600] Avg steer weight: 1.08 | Max steer weight: 1.19
[Epoch 1 | Batch 10800] Avg steer weight: 1.62 | Max steer weight: 2.82
[Epoch 1 | Batch 11000] Avg steer weight: 1.57 | Max steer weight: 2.47
[Epoch 1 | Batch 11200] Avg steer weight: 1.21 | Max steer weight: 1.34
[Epoch 1 | Batch 11400] Avg steer weight: 1.29 | Max steer weight: 1.88
[Epoch 1 | Batch 11600] Avg steer weight: 1.17 | Max steer weight: 1.32
[Epoch 1 | Batch 11800] Avg steer weight: 1.49 | Max steer weight: 2.73
[Epoch 1 | Batch 12000] Avg steer weight: 1.09 | Max steer weight: 1.19
[Epoch 1 | Batch 12200] Avg steer weight: 1.07 | Max steer weight: 1.18
[Epoch 1 | Batch 12400] Avg steer weight: 1.15 | Max steer weight: 1.34
[Epoch 1 | Batch 12600] Avg steer weight: 1.26 | Max steer weight: 1.76
[Epoch 1 | Batch 12800] Avg steer weight: 1.07 | Max steer weight: 1.16
[Epoch 1 | Batch 13000] Avg steer weight: 1.12 | Max steer weight: 1.25
[Epoch 1 | Batch 13200] Avg steer weight: 1.21 | Max steer weight: 1.31
[Epoch 1 | Batch 13400] Avg steer weight: 1.15 | Max steer weight: 1.20
[Epoch 1 | Batch 13600] Avg steer weight: 1.25 | Max steer weight: 1.74
[Epoch 1 | Batch 13800] Avg steer weight: 1.73 | Max steer weight: 3.28
[Epoch 1 | Batch 14000] Avg steer weight: 1.25 | Max steer weight: 1.82
[Epoch 1 | Batch 14200] Avg steer weight: 1.13 | Max steer weight: 1.28
[Epoch 1 | Batch 14400] Avg steer weight: 1.11 | Max steer weight: 1.27
[Epoch 1 | Batch 14600] Avg steer weight: 1.09 | Max steer weight: 1.21
[Epoch 1 | Batch 14800] Avg steer weight: 1.18 | Max steer weight: 1.38
[Epoch 1 | Batch 15000] Avg steer weight: 1.06 | Max steer weight: 1.10
[Epoch 1 | Batch 15200] Avg steer weight: 1.11 | Max steer weight: 1.21
[Epoch 1 | Batch 15400] Avg steer weight: 1.14 | Max steer weight: 1.32
[Epoch 1 | Batch 15600] Avg steer weight: 1.74 | Max steer weight: 3.40
[Epoch 1 | Batch 15800] Avg steer weight: 1.06 | Max steer weight: 1.13
[Epoch 1 | Batch 16000] Avg steer weight: 1.11 | Max steer weight: 1.22
[Epoch 1 | Batch 16200] Avg steer weight: 1.39 | Max steer weight: 2.21
[Epoch 1 | Batch 16400] Avg steer weight: 1.12 | Max steer weight: 1.21
[Epoch 1 | Batch 16600] Avg steer weight: 1.09 | Max steer weight: 1.17
[Epoch 1 | Batch 16800] Avg steer weight: 1.23 | Max steer weight: 1.72
[Epoch 1 | Batch 17000] Avg steer weight: 1.57 | Max steer weight: 2.77
[Epoch 1 | Batch 17200] Avg steer weight: 1.06 | Max steer weight: 1.12
[Epoch 1 | Batch 17400] Avg steer weight: 1.11 | Max steer weight: 1.22
[Epoch 1 | Batch 17600] Avg steer weight: 1.12 | Max steer weight: 1.34
[Epoch 1 | Batch 17800] Avg steer weight: 1.15 | Max steer weight: 1.23
[Epoch 1 | Batch 18000] Avg steer weight: 1.11 | Max steer weight: 1.25
[Epoch 1 | Batch 18200] Avg steer weight: 1.19 | Max steer weight: 1.55
[Epoch 1 | Batch 18400] Avg steer weight: 1.20 | Max steer weight: 1.64
[Epoch 1 | Batch 18600] Avg steer weight: 1.33 | Max steer weight: 1.73
[Epoch 1 | Batch 18800] Avg steer weight: 1.09 | Max steer weight: 1.17
[Epoch 1 | Batch 19000] Avg steer weight: 1.16 | Max steer weight: 1.34
[Epoch 1 | Batch 19200] Avg steer weight: 1.12 | Max steer weight: 1.15
[Epoch 1 | Batch 19400] Avg steer weight: 1.26 | Max steer weight: 1.67
[Epoch 1 | Batch 19600] Avg steer weight: 1.21 | Max steer weight: 1.47
[Epoch 1 | Batch 19800] Avg steer weight: 1.33 | Max steer weight: 1.63
[Epoch 1 | Batch 20000] Avg steer weight: 1.27 | Max steer weight: 1.81
[Epoch 1 | Batch 20200] Avg steer weight: 1.09 | Max steer weight: 1.19
[Epoch 1 | Batch 20400] Avg steer weight: 1.28 | Max steer weight: 1.67
[Epoch 1 | Batch 20600] Avg steer weight: 1.06 | Max steer weight: 1.13
[Epoch 1 | Batch 20800] Avg steer weight: 1.03 | Max steer weight: 1.05
[Epoch 1 | Batch 21000] Avg steer weight: 1.09 | Max steer weight: 1.15
[Epoch 1 | Batch 21200] Avg steer weight: 1.10 | Max steer weight: 1.16
[Epoch 1 | Batch 21400] Avg steer weight: 1.09 | Max steer weight: 1.19
[Epoch 1 | Batch 21600] Avg steer weight: 1.05 | Max steer weight: 1.10
[Epoch 1 | Batch 21800] Avg steer weight: 1.26 | Max steer weight: 1.75
[Epoch 1 | Batch 22000] Avg steer weight: 1.03 | Max steer weight: 1.05
[Epoch 1 | Batch 22200] Avg steer weight: 1.03 | Max steer weight: 1.04
[Epoch 1 | Batch 22400] Avg steer weight: 1.11 | Max steer weight: 1.25
[Epoch 1 | Batch 22600] Avg steer weight: 1.27 | Max steer weight: 1.79
[Epoch 1 | Batch 22800] Avg steer weight: 1.29 | Max steer weight: 1.86
[Epoch 1 | Batch 23000] Avg steer weight: 1.08 | Max steer weight: 1.22
[Epoch 1 | Batch 23200] Avg steer weight: 1.13 | Max steer weight: 1.32
[Epoch 1 | Batch 23400] Avg steer weight: 1.42 | Max steer weight: 1.74
[Epoch 1 | Batch 23600] Avg steer weight: 1.14 | Max steer weight: 1.19
[Epoch 1 | Batch 23800] Avg steer weight: 1.08 | Max steer weight: 1.21
[Epoch 1 | Batch 24000] Avg steer weight: 1.31 | Max steer weight: 1.51
[Epoch 1 | Batch 24200] Avg steer weight: 1.17 | Max steer weight: 1.33
[Epoch 1 | Batch 24400] Avg steer weight: 1.05 | Max steer weight: 1.10
[Epoch 1 | Batch 24600] Avg steer weight: 1.12 | Max steer weight: 1.26
[Epoch 1 | Batch 24800] Avg steer weight: 1.52 | Max steer weight: 2.72
[Epoch 1 | Batch 25000] Avg steer weight: 1.03 | Max steer weight: 1.04
[Epoch 1 | Batch 25200] Avg steer weight: 1.17 | Max steer weight: 1.33
[Epoch 1 | Batch 25400] Avg steer weight: 1.22 | Max steer weight: 1.62
[Epoch 1 | Batch 25600] Avg steer weight: 1.07 | Max steer weight: 1.14
[Epoch 1 | Batch 25800] Avg steer weight: 1.53 | Max steer weight: 1.87
[Epoch 1 | Batch 26000] Avg steer weight: 1.27 | Max steer weight: 1.58
[Epoch 1 | Batch 26200] Avg steer weight: 1.40 | Max steer weight: 2.18
[Epoch 1 | Batch 26400] Avg steer weight: 1.09 | Max steer weight: 1.21
[Epoch 1 | Batch 26600] Avg steer weight: 1.72 | Max steer weight: 2.75
[Epoch 1 | Batch 26800] Avg steer weight: 1.04 | Max steer weight: 1.09
[Epoch 1 | Batch 27000] Avg steer weight: 1.17 | Max steer weight: 1.39
[Epoch 1 | Batch 27200] Avg steer weight: 1.28 | Max steer weight: 1.68
[Epoch 1 | Batch 27400] Avg steer weight: 1.07 | Max steer weight: 1.11
[Epoch 1 | Batch 27600] Avg steer weight: 1.06 | Max steer weight: 1.12
[Epoch 1 | Batch 27800] Avg steer weight: 1.33 | Max steer weight: 1.48
[Epoch 1 | Batch 28000] Avg steer weight: 1.11 | Max steer weight: 1.31
[Epoch 1 | Batch 28200] Avg steer weight: 1.06 | Max steer weight: 1.13
[Epoch 1 | Batch 28400] Avg steer weight: 1.09 | Max steer weight: 1.26
[Epoch 1 | Batch 28600] Avg steer weight: 1.09 | Max steer weight: 1.27
[Epoch 1 | Batch 28800] Avg steer weight: 1.13 | Max steer weight: 1.15
[Epoch 1 | Batch 29000] Avg steer weight: 1.75 | Max steer weight: 3.75
[Epoch 1 | Batch 29200] Avg steer weight: 1.33 | Max steer weight: 2.12

Epoch 1 - Avg loss: 0.045233
New best model saved (loss=0.045233)
[Epoch 2 | Batch 0] Avg steer weight: 1.05 | Max steer weight: 1.19
[Epoch 2 | Batch 200] Avg steer weight: 1.05 | Max steer weight: 1.08
[Epoch 2 | Batch 400] Avg steer weight: 1.04 | Max steer weight: 1.07
[Epoch 2 | Batch 600] Avg steer weight: 1.24 | Max steer weight: 1.72
[Epoch 2 | Batch 800] Avg steer weight: 1.07 | Max steer weight: 1.13
[Epoch 2 | Batch 1000] Avg steer weight: 1.40 | Max steer weight: 2.01
[Epoch 2 | Batch 1200] Avg steer weight: 1.17 | Max steer weight: 1.22
[Epoch 2 | Batch 1400] Avg steer weight: 1.20 | Max steer weight: 1.36
[Epoch 2 | Batch 1600] Avg steer weight: 1.15 | Max steer weight: 1.34
[Epoch 2 | Batch 1800] Avg steer weight: 1.28 | Max steer weight: 1.48
[Epoch 2 | Batch 2000] Avg steer weight: 1.11 | Max steer weight: 1.32
[Epoch 2 | Batch 2200] Avg steer weight: 1.24 | Max steer weight: 1.45
[Epoch 2 | Batch 2400] Avg steer weight: 1.61 | Max steer weight: 2.49
[Epoch 2 | Batch 2600] Avg steer weight: 1.56 | Max steer weight: 2.91
[Epoch 2 | Batch 2800] Avg steer weight: 1.15 | Max steer weight: 1.17
[Epoch 2 | Batch 3000] Avg steer weight: 1.05 | Max steer weight: 1.10
[Epoch 2 | Batch 3200] Avg steer weight: 1.23 | Max steer weight: 1.50
[Epoch 2 | Batch 3400] Avg steer weight: 1.32 | Max steer weight: 1.77
[Epoch 2 | Batch 3600] Avg steer weight: 1.07 | Max steer weight: 1.15
[Epoch 2 | Batch 3800] Avg steer weight: 1.24 | Max steer weight: 1.52
[Epoch 2 | Batch 4000] Avg steer weight: 1.54 | Max steer weight: 2.84
[Epoch 2 | Batch 4200] Avg steer weight: 1.11 | Max steer weight: 1.18
[Epoch 2 | Batch 4400] Avg steer weight: 1.04 | Max steer weight: 1.10
[Epoch 2 | Batch 4600] Avg steer weight: 1.08 | Max steer weight: 1.16
[Epoch 2 | Batch 4800] Avg steer weight: 1.55 | Max steer weight: 2.80
[Epoch 2 | Batch 5000] Avg steer weight: 1.08 | Max steer weight: 1.23
[Epoch 2 | Batch 5200] Avg steer weight: 1.14 | Max steer weight: 1.45
[Epoch 2 | Batch 5400] Avg steer weight: 1.08 | Max steer weight: 1.21
[Epoch 2 | Batch 5600] Avg steer weight: 1.06 | Max steer weight: 1.09
[Epoch 2 | Batch 5800] Avg steer weight: 1.22 | Max steer weight: 1.43
[Epoch 2 | Batch 6000] Avg steer weight: 1.03 | Max steer weight: 1.07
[Epoch 2 | Batch 6200] Avg steer weight: 1.10 | Max steer weight: 1.18
[Epoch 2 | Batch 6400] Avg steer weight: 1.16 | Max steer weight: 1.32
[Epoch 2 | Batch 6600] Avg steer weight: 1.50 | Max steer weight: 2.89
[Epoch 2 | Batch 6800] Avg steer weight: 1.21 | Max steer weight: 1.29
[Epoch 2 | Batch 7000] Avg steer weight: 1.73 | Max steer weight: 2.71
[Epoch 2 | Batch 7200] Avg steer weight: 1.29 | Max steer weight: 1.72
[Epoch 2 | Batch 7400] Avg steer weight: 1.09 | Max steer weight: 1.14
[Epoch 2 | Batch 7600] Avg steer weight: 1.07 | Max steer weight: 1.18
[Epoch 2 | Batch 7800] Avg steer weight: 1.41 | Max steer weight: 1.84
[Epoch 2 | Batch 8000] Avg steer weight: 1.02 | Max steer weight: 1.04
[Epoch 2 | Batch 8200] Avg steer weight: 1.05 | Max steer weight: 1.15
[Epoch 2 | Batch 8400] Avg steer weight: 1.21 | Max steer weight: 1.63
[Epoch 2 | Batch 8600] Avg steer weight: 1.10 | Max steer weight: 1.23
[Epoch 2 | Batch 8800] Avg steer weight: 1.24 | Max steer weight: 1.46
[Epoch 2 | Batch 9000] Avg steer weight: 1.26 | Max steer weight: 1.41
[Epoch 2 | Batch 9200] Avg steer weight: 1.03 | Max steer weight: 1.04
[Epoch 2 | Batch 9400] Avg steer weight: 1.17 | Max steer weight: 1.27
[Epoch 2 | Batch 9600] Avg steer weight: 1.39 | Max steer weight: 2.02
[Epoch 2 | Batch 9800] Avg steer weight: 1.15 | Max steer weight: 1.22
[Epoch 2 | Batch 10000] Avg steer weight: 1.07 | Max steer weight: 1.12
[Epoch 2 | Batch 10200] Avg steer weight: 1.08 | Max steer weight: 1.17
[Epoch 2 | Batch 10400] Avg steer weight: 1.40 | Max steer weight: 1.71
[Epoch 2 | Batch 10600] Avg steer weight: 1.10 | Max steer weight: 1.25
[Epoch 2 | Batch 10800] Avg steer weight: 2.32 | Max steer weight: 5.67
[Epoch 2 | Batch 11000] Avg steer weight: 1.14 | Max steer weight: 1.36
[Epoch 2 | Batch 11200] Avg steer weight: 1.14 | Max steer weight: 1.21
[Epoch 2 | Batch 11400] Avg steer weight: 1.72 | Max steer weight: 2.80
[Epoch 2 | Batch 11600] Avg steer weight: 1.17 | Max steer weight: 1.43
[Epoch 2 | Batch 11800] Avg steer weight: 1.15 | Max steer weight: 1.36
[Epoch 2 | Batch 12000] Avg steer weight: 1.05 | Max steer weight: 1.13
[Epoch 2 | Batch 12200] Avg steer weight: 1.59 | Max steer weight: 2.95
[Epoch 2 | Batch 12400] Avg steer weight: 1.10 | Max steer weight: 1.29
[Epoch 2 | Batch 12600] Avg steer weight: 1.07 | Max steer weight: 1.14
[Epoch 2 | Batch 12800] Avg steer weight: 1.25 | Max steer weight: 1.83
[Epoch 2 | Batch 13000] Avg steer weight: 1.15 | Max steer weight: 1.47
[Epoch 2 | Batch 13200] Avg steer weight: 1.11 | Max steer weight: 1.18
[Epoch 2 | Batch 13400] Avg steer weight: 1.04 | Max steer weight: 1.08
[Epoch 2 | Batch 13600] Avg steer weight: 1.09 | Max steer weight: 1.19
[Epoch 2 | Batch 13800] Avg steer weight: 1.69 | Max steer weight: 2.74
[Epoch 2 | Batch 14000] Avg steer weight: 1.64 | Max steer weight: 2.95
[Epoch 2 | Batch 14200] Avg steer weight: 1.24 | Max steer weight: 1.52
[Epoch 2 | Batch 14400] Avg steer weight: 1.22 | Max steer weight: 1.44
[Epoch 2 | Batch 14600] Avg steer weight: 1.62 | Max steer weight: 2.77
[Epoch 2 | Batch 14800] Avg steer weight: 1.21 | Max steer weight: 1.46
[Epoch 2 | Batch 15000] Avg steer weight: 1.21 | Max steer weight: 1.54
[Epoch 2 | Batch 15200] Avg steer weight: 1.11 | Max steer weight: 1.19
[Epoch 2 | Batch 15400] Avg steer weight: 1.08 | Max steer weight: 1.20
[Epoch 2 | Batch 15600] Avg steer weight: 1.13 | Max steer weight: 1.32
[Epoch 2 | Batch 15800] Avg steer weight: 1.05 | Max steer weight: 1.08
[Epoch 2 | Batch 16000] Avg steer weight: 1.20 | Max steer weight: 1.34
[Epoch 2 | Batch 16200] Avg steer weight: 1.11 | Max steer weight: 1.16
[Epoch 2 | Batch 16400] Avg steer weight: 1.18 | Max steer weight: 1.23
[Epoch 2 | Batch 16600] Avg steer weight: 1.21 | Max steer weight: 1.80
[Epoch 2 | Batch 16800] Avg steer weight: 1.41 | Max steer weight: 1.96
[Epoch 2 | Batch 17000] Avg steer weight: 1.10 | Max steer weight: 1.28
[Epoch 2 | Batch 17200] Avg steer weight: 1.53 | Max steer weight: 2.40
[Epoch 2 | Batch 17400] Avg steer weight: 1.05 | Max steer weight: 1.11
[Epoch 2 | Batch 17600] Avg steer weight: 1.06 | Max steer weight: 1.16
[Epoch 2 | Batch 17800] Avg steer weight: 1.09 | Max steer weight: 1.19
[Epoch 2 | Batch 18000] Avg steer weight: 1.03 | Max steer weight: 1.07
[Epoch 2 | Batch 18200] Avg steer weight: 1.11 | Max steer weight: 1.25
[Epoch 2 | Batch 18400] Avg steer weight: 1.02 | Max steer weight: 1.05
[Epoch 2 | Batch 18600] Avg steer weight: 1.06 | Max steer weight: 1.17
[Epoch 2 | Batch 18800] Avg steer weight: 1.09 | Max steer weight: 1.21
[Epoch 2 | Batch 19000] Avg steer weight: 1.27 | Max steer weight: 2.01
[Epoch 2 | Batch 19200] Avg steer weight: 1.32 | Max steer weight: 2.12
[Epoch 2 | Batch 19400] Avg steer weight: 1.06 | Max steer weight: 1.15
[Epoch 2 | Batch 19600] Avg steer weight: 1.53 | Max steer weight: 2.83
[Epoch 2 | Batch 19800] Avg steer weight: 1.26 | Max steer weight: 1.36
[Epoch 2 | Batch 20000] Avg steer weight: 1.15 | Max steer weight: 1.40
[Epoch 2 | Batch 20200] Avg steer weight: 1.32 | Max steer weight: 1.77
[Epoch 2 | Batch 20400] Avg steer weight: 1.12 | Max steer weight: 1.23
[Epoch 2 | Batch 20600] Avg steer weight: 1.10 | Max steer weight: 1.28
[Epoch 2 | Batch 20800] Avg steer weight: 1.44 | Max steer weight: 1.89
[Epoch 2 | Batch 21000] Avg steer weight: 1.32 | Max steer weight: 1.80
[Epoch 2 | Batch 21200] Avg steer weight: 1.07 | Max steer weight: 1.19
[Epoch 2 | Batch 21400] Avg steer weight: 1.09 | Max steer weight: 1.19
[Epoch 2 | Batch 21600] Avg steer weight: 1.29 | Max steer weight: 1.90
[Epoch 2 | Batch 21800] Avg steer weight: 1.31 | Max steer weight: 1.97
[Epoch 2 | Batch 22000] Avg steer weight: 1.11 | Max steer weight: 1.34
[Epoch 2 | Batch 22200] Avg steer weight: 1.13 | Max steer weight: 1.29
[Epoch 2 | Batch 22400] Avg steer weight: 1.34 | Max steer weight: 2.21
[Epoch 2 | Batch 22600] Avg steer weight: 1.09 | Max steer weight: 1.24
